title|url|sentence|label
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|US News|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Open sub menu|0
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Metro|0
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Long Island|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Politics|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|World News|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Page Six|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Sports|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Open sub menu|0
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|NFL|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|MLB|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Olympics|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|NBA|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|NHL|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|College Football|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|College Basketball|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|WNBA|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Post Sports+|1
Ex-teacher who fed students semen-laced cupcakes sentenced to 41 years|https://nypost.com/2022/02/20/ex-teacher-who-fed-students-semen-laced-cupcakes-sentenced-to-41-years/|Sports Betting|1
