title|url|sentence|label
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|Main menu|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|move to sidebar|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|hide|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|Main pageContentsCurrent eventsRandom articleAbout WikipediaContact usSpecial pages|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|HelpLearn to editCommunity portalRecent changesUpload file|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|Appearance|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|move to sidebar|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|hide|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|LargeThis page always uses small font size|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|WideThe content is as wide as possible for your browser window.|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|DarkThis page is always in light mode.|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|Donate Create account Log in|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|Pages for logged out editors learn more|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|#wll2021 {|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|padding: 0;|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|width: 100%;|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|margin-bottom: 1em;|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|position: relative;|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|}|0
Kidnapping of Naama Levy - Wikipedia|https://en.wikipedia.org/wiki/Kidnapping_of_Naama_Levy|#mw-mf-viewport #wll2021 {|0
