title|url|sentence|label
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|Main menu|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|move to sidebar|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|hide|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|Main pageContentsCurrent eventsRandom articleAbout WikipediaContact usSpecial pages|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|HelpLearn to editCommunity portalRecent changesUpload file|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|Appearance|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|move to sidebar|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|hide|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|LargeThis page always uses small font size|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|WideThe content is as wide as possible for your browser window.|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|DarkThis page is always in light mode.|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|Donate Create account Log in|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|Pages for logged out editors learn more|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|#wll2021 {|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|padding: 0;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|width: 100%;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|margin-bottom: 1em;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|position: relative;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|}|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|#mw-mf-viewport #wll2021 {|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|margin-bottom: 0!important;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|}|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|#wll2021>a {|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|display: table;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|table-layout: fixed;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|border: 1px solid rgba(0, 0, 0, 0.3);|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|background-color: #FFF;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|font-size: 16px;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|font-weight: bold;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|line-height: 1.125;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|text-align: left;|0
List of awards and nominations received by Kendrick Lamar - Wikipedia|https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Kendrick_Lamar|width: 100%;|0
